nearc4,educ,black,smsa,south,married,exper,lwage
1,11,1,0,1,1.0,14,5.634789
1,10,0,1,0,1.0,8,6.073044
1,12,0,1,0,1.0,9,6.558198
1,12,0,1,0,1.0,9,6.052089
1,12,0,1,0,1.0,6,6.347389
1,16,0,1,0,6.0,8,6.287858
1,16,0,1,0,1.0,10,6.60665
1,13,0,1,0,1.0,13,6.511745
1,12,0,1,0,1.0,16,6.645091
1,12,0,1,0,1.0,6,6.383507
1,9,1,1,0,6.0,9,5.361292
1,16,0,1,0,1.0,12,7.354362
1,16,0,1,0,1.0,6,6.651572
1,12,0,1,1,1.0,8,6.39693
1,18,0,1,0,6.0,0,6.54103
1,13,0,1,0,5.0,12,6.345636
1,14,0,1,0,5.0,8,6.070738
1,15,0,1,0,2.0,7,6.287858
1,12,0,1,0,6.0,7,6.440947
1,8,0,1,0,1.0,17,6.175867
1,12,0,1,0,1.0,8,6.300786
1,12,0,1,0,1.0,7,6.356108
1,16,0,1,0,1.0,3,6.55108
1,16,0,1,0,1.0,6,6.669498
1,17,0,1,0,1.0,4,6.919684
1,12,0,1,0,1.0,6,6.630683
1,14,0,1,0,6.0,9,6.398595
1,12,0,1,0,6.0,6,5.645447
1,12,0,1,0,6.0,6,5.521461
1,12,0,1,0,1.0,8,6.214608
1,11,0,1,0,1.0,14,6.309918
1,12,0,1,0,1.0,7,7.041412
1,18,0,1,1,4.0,7,6.697034
1,12,1,1,0,6.0,10,5.746203
1,18,0,1,0,1.0,1,6.594413
1,16,0,1,0,1.0,3,6.437752
1,14,0,1,0,1.0,4,6.376727
1,14,0,1,0,1.0,6,5.926926
1,16,0,1,1,6.0,7,6.705639
1,14,0,1,0,1.0,10,6.76273
1,15,0,1,1,1.0,7,5.857933
1,13,0,1,1,1.0,5,5.308268
1,13,0,1,1,1.0,13,6.224558
1,17,0,1,0,1.0,7,6.704414
1,18,0,1,0,6.0,2,6.437752
1,18,0,1,0,6.0,8,6.645091
1,17,0,1,0,6.0,4,6.214608
1,17,0,1,0,1.0,4,6.428105
1,12,0,1,0,1.0,12,6.476973
1,18,0,1,0,1.0,4,6.645091
1,12,0,1,0,1.0,8,6.238325
1,18,0,1,0,1.0,7,6.437752
1,14,0,1,0,1.0,11,7.013016
1,13,0,1,0,1.0,9,6.580639
1,14,0,1,0,1.0,12,7.05099
1,18,0,0,0,6.0,10,6.717805
1,16,0,1,0,1.0,12,6.827629
1,17,0,1,0,1.0,5,6.981006
1,12,0,1,0,1.0,15,6.437752
1,13,0,1,0,1.0,8,6.131227
1,14,1,1,0,6.0,4,6.802395
1,18,0,1,0,1.0,5,6.52503
1,12,0,1,0,1.0,6,6.018593
1,13,0,1,0,1.0,8,6.437752
1,18,0,1,0,1.0,8,6.912743
1,11,0,1,0,1.0,7,6.586172
1,15,0,1,0,1.0,6,6.620073
1,14,0,1,0,1.0,9,6.270988
1,17,0,1,0,1.0,6,6.879356
1,12,0,0,0,1.0,8,6.156979
1,12,0,1,0,6.0,6,5.783825
1,12,0,1,0,1.0,16,6.774224
1,13,0,1,0,1.0,15,6.437752
1,12,0,1,0,1.0,8,5.820083
1,16,0,1,0,1.0,5,6.175867
1,9,0,1,0,6.0,14,6.476973
1,16,0,1,0,6.0,3,5.948035
1,18,0,1,0,1.0,6,6.869014
1,16,0,0,0,6.0,7,6.421622
1,14,0,1,0,1.0,8,6.553934
1,14,0,1,0,6.0,11,6.453625
1,12,0,1,0,4.0,10,5.298317
1,12,0,1,0,1.0,9,6.705639
1,14,0,1,0,1.0,6,6.357842
1,17,0,1,0,1.0,3,6.144186
1,16,0,1,0,1.0,7,6.828712
1,16,0,1,1,1.0,9,6.675823
1,14,0,1,0,1.0,8,6.453625
1,12,0,1,0,6.0,7,6.345636
1,16,0,1,0,1.0,7,6.558198
1,14,0,1,0,1.0,8,6.453625
1,12,0,1,0,1.0,12,6.542472
1,13,0,1,0,1.0,15,6.421622
1,16,0,1,0,6.0,4,6.135565
1,12,0,1,0,1.0,16,6.76273
1,18,0,1,1,1.0,9,6.602588
1,12,0,1,0,1.0,7,7.244227
1,12,0,1,0,1.0,13,6.694562
1,16,0,1,0,1.0,4,6.483108
1,12,0,1,0,1.0,7,5.703783
1,16,0,1,0,4.0,8,6.357842
1,16,0,1,0,6.0,2,5.57973
1,18,0,0,0,1.0,7,6.386879
1,17,0,1,0,1.0,3,5.783825
1,16,0,0,0,6.0,2,5.953243
1,18,0,1,0,1.0,1,6.907755
1,18,0,1,0,6.0,4,6.142037
1,16,0,1,0,6.0,6,6.086775
1,16,0,1,0,6.0,5,6.437752
1,17,0,1,0,1.0,4,5.652489
1,14,0,1,0,1.0,7,6.476973
1,13,0,1,0,1.0,6,6.694562
1,12,0,1,0,1.0,6,6.214608
1,16,0,1,0,1.0,4,6.72263
1,12,0,1,0,1.0,13,6.214608
1,17,0,1,0,1.0,9,6.54103
1,12,0,1,0,1.0,9,7.003066
1,12,0,1,0,1.0,7,6.637258
1,12,0,1,0,1.0,9,6.678342
1,16,0,1,0,6.0,3,5.808143
1,18,0,1,0,1.0,6,6.013715
1,16,0,1,0,1.0,5,6.76273
1,12,0,1,0,1.0,13,6.788972
1,12,0,1,0,1.0,16,6.511745
1,12,0,0,0,6.0,15,6.55108
1,18,0,1,1,6.0,9,5.521461
1,11,0,1,0,6.0,10,6.437752
1,13,0,1,0,4.0,12,6.033086
1,13,0,1,0,1.0,9,6.356108
1,12,1,1,0,6.0,8,6.418365
1,12,0,1,0,1.0,13,6.55108
1,12,0,1,0,6.0,6,6.109248
1,16,0,1,0,1.0,6,6.214608
1,12,0,0,0,1.0,7,6.242223
1,16,0,1,0,6.0,3,5.521461
1,12,0,0,0,6.0,6,5.752573
1,12,0,1,0,1.0,11,5.926926
1,15,0,0,0,1.0,13,6.124683
1,12,1,1,0,6.0,9,5.616771
1,12,0,1,0,1.0,10,6.857514
1,16,0,1,0,1.0,10,7.01661
1,16,0,0,0,6.0,3,5.666427
1,16,0,1,0,1.0,3,6.214608
1,18,0,1,0,1.0,8,6.58755
1,18,0,1,0,1.0,5,7.142828
1,17,1,1,0,6.0,3,6.418365
1,12,0,1,0,6.0,10,6.300786
1,13,0,1,0,1.0,9,5.627621
1,18,0,1,0,1.0,10,7.273787
1,16,0,1,0,1.0,5,6.902743
1,12,0,1,0,1.0,11,6.55108
1,16,0,1,0,1.0,6,6.357842
1,16,0,1,0,1.0,9,6.754604
1,12,0,1,0,1.0,10,6.530878
1,15,0,1,0,1.0,10,6.723833
1,13,0,1,0,1.0,14,6.45047
1,12,0,1,0,1.0,14,6.535241
1,14,0,1,0,1.0,10,6.645091
1,15,0,1,0,6.0,6,5.953243
1,12,0,1,0,6.0,6,6.109248
1,12,0,1,0,1.0,9,6.421622
1,12,0,1,0,1.0,16,6.52503
1,10,0,1,0,5.0,16,6.507277
1,11,0,1,0,1.0,16,6.684612
1,14,0,1,0,1.0,14,6.224558
1,18,0,1,0,5.0,6,6.933423
1,15,0,1,0,6.0,4,6.645091
1,10,0,1,1,1.0,16,5.669881
1,13,0,1,0,1.0,9,6.270988
1,16,0,1,0,1.0,7,7.05099
1,10,0,1,0,1.0,13,6.308098
1,12,0,1,0,1.0,8,6.163315
1,12,0,1,0,1.0,8,6.109248
1,17,0,1,0,6.0,4,6.774224
1,15,0,1,0,6.0,4,5.298317
1,13,0,0,0,6.0,7,5.703783
1,16,0,0,0,6.0,3,6.135565
1,12,0,1,0,1.0,12,5.953243
1,15,0,1,0,1.0,11,7.156177
1,16,0,1,0,6.0,3,6.376727
1,12,0,1,0,6.0,9,6.39693
1,16,0,1,0,1.0,8,6.214608
1,12,1,1,0,1.0,15,6.086775
1,18,0,1,1,6.0,2,6.146329
1,17,0,1,0,1.0,6,6.834109
1,16,0,1,0,1.0,5,6.320768
1,13,0,1,0,6.0,5,6.082219
1,12,1,1,0,1.0,11,6.39693
1,12,1,1,0,1.0,8,6.35437
1,12,1,1,0,6.0,8,5.963579
1,12,0,0,0,1.0,16,6.678342
1,18,0,1,0,1.0,3,6.154858
1,17,0,1,0,6.0,3,5.308268
1,17,0,1,0,6.0,1,5.298317
1,17,0,1,0,6.0,1,5.857933
1,14,0,0,0,6.0,4,5.926926
1,16,0,1,0,1.0,3,6.175867
1,18,0,1,0,6.0,7,6.869014
1,15,0,1,0,6.0,6,6.047372
1,15,0,1,0,6.0,6,6.214608
1,9,0,1,0,1.0,15,6.109248
1,8,0,1,0,1.0,14,6.165418
1,12,0,1,0,6.0,6,4.912655
1,12,0,1,0,1.0,14,6.35437
1,12,0,1,0,1.0,15,6.357842
1,12,0,1,0,1.0,13,5.736572
1,9,0,1,0,1.0,15,6.55108
1,14,0,1,0,1.0,12,7.186901
1,10,0,1,0,1.0,18,6.311735
1,17,0,1,0,1.0,7,6.781058
1,12,0,1,0,1.0,7,6.633318
1,12,0,1,0,1.0,14,6.562444
1,12,0,1,0,1.0,8,6.052089
1,12,0,1,0,6.0,8,6.056784
1,16,0,1,0,6.0,2,6.356108
1,9,0,1,0,4.0,17,5.991465
1,12,0,0,0,1.0,13,6.214608
1,12,0,0,0,1.0,10,6.274762
1,16,0,1,0,1.0,6,6.511745
1,16,0,1,1,6.0,5,6.357842
1,16,0,1,0,6.0,2,5.783825
1,11,0,0,0,1.0,12,6.214608
1,12,0,0,0,1.0,7,6.64639
1,12,0,1,0,1.0,8,6.214608
1,16,0,1,0,1.0,6,5.968708
1,12,0,1,0,1.0,16,6.697034
1,9,1,0,0,1.0,19,6.297109
1,9,1,0,0,5.0,19,6.385194
1,17,0,1,0,6.0,2,6.761573
1,10,1,0,0,1.0,12,6.55108
1,12,0,0,0,1.0,7,6.234411
1,13,0,1,0,4.0,15,6.421622
1,14,0,1,0,1.0,9,6.634634
1,10,0,1,0,1.0,15,6.200509
1,16,0,1,0,1.0,2,6.098074
1,12,0,1,0,1.0,7,6.052089
1,16,0,1,0,6.0,2,6.620073
1,16,0,1,0,1.0,2,6.55108
1,12,0,1,0,1.0,6,6.082219
1,12,0,1,0,1.0,11,6.410175
1,13,0,1,0,1.0,5,6.109248
1,3,0,1,0,1.0,17,5.746203
1,7,1,1,0,1.0,20,5.521461
1,14,0,1,0,1.0,13,6.214608
0,12,0,1,0,6.0,8,5.899898
0,12,0,1,0,1.0,8,6.700731
0,12,0,0,0,4.0,7,5.786897
0,12,0,0,0,1.0,11,6.261492
0,13,0,1,0,1.0,9,6.703188
0,12,0,1,0,1.0,10,6.620073
0,17,0,1,0,1.0,1,6.263398
0,12,0,1,0,1.0,14,7.025538
0,12,0,1,0,6.0,10,6.437752
0,14,0,1,0,1.0,5,6.572282
0,12,0,0,0,1.0,13,6.381816
0,17,0,1,0,6.0,4,6.001415
1,12,0,1,0,1.0,10,6.514713
1,12,0,1,0,6.0,7,6.095825
1,12,0,1,0,1.0,6,6.190315
1,9,0,1,0,1.0,19,6.543912
1,12,0,1,1,1.0,7,6.55108
1,12,0,1,1,1.0,6,5.783825
1,9,0,1,0,1.0,10,6.320768
1,12,0,1,0,6.0,8,5.783825
1,13,0,1,0,1.0,7,6.504288
1,18,0,1,0,1.0,7,7.784889
1,16,0,1,0,6.0,3,6.630683
1,16,0,1,0,1.0,12,6.893656
1,12,0,1,0,1.0,7,6.357842
1,17,0,0,0,1.0,6,5.655992
1,14,0,1,1,6.0,8,5.442418
1,12,0,1,0,1.0,7,6.240276
1,15,0,1,0,4.0,7,6.421622
1,15,0,1,0,1.0,4,6.55108
1,18,0,1,0,1.0,9,6.570883
1,9,0,1,0,1.0,15,6.552508
1,12,1,1,0,1.0,6,6.135565
1,18,0,1,0,6.0,4,6.766191
1,16,0,0,0,6.0,7,6.821107
1,12,0,1,0,1.0,9,6.97073
1,12,0,1,1,4.0,11,5.991465
1,12,0,1,0,1.0,9,6.461468
1,13,0,1,0,6.0,5,5.652489
1,17,0,1,1,6.0,4,6.463029
1,13,0,1,0,1.0,13,5.963579
1,12,0,1,0,1.0,7,6.917706
1,12,0,0,0,1.0,6,6.705639
1,17,0,1,0,1.0,4,6.882438
1,12,1,1,0,4.0,11,6.620073
1,15,0,0,0,1.0,3,6.137727
1,12,0,1,0,1.0,10,7.234899
1,12,0,1,0,6.0,7,6.357842
1,12,0,1,0,6.0,9,5.993961
1,10,0,1,0,1.0,10,5.768321
1,12,0,1,0,1.0,9,6.242223
1,11,0,1,0,6.0,8,5.337538
1,17,0,1,0,1.0,4,7.083388
1,14,0,1,0,6.0,6,6.437752
1,17,0,1,0,1.0,11,6.175867
1,13,0,1,0,1.0,8,6.570883
1,11,0,1,0,1.0,10,6.437752
1,12,0,1,0,1.0,12,6.315358
1,12,0,1,0,1.0,16,6.361302
1,18,0,1,0,6.0,4,6.734591
1,18,0,1,0,1.0,9,7.561642
1,16,0,1,0,1.0,4,6.692084
1,12,1,1,0,1.0,11,5.840641
1,12,0,1,0,1.0,14,6.869014
1,12,0,0,0,1.0,14,6.39693
1,18,0,1,0,1.0,10,6.729824
1,16,0,1,0,6.0,2,6.437752
1,16,0,1,0,1.0,6,6.33328
1,16,0,1,0,1.0,6,7.251345
1,12,0,1,0,1.0,7,6.173786
1,12,0,1,0,6.0,6,6.39693
1,9,0,1,0,1.0,13,5.703783
1,9,0,1,0,1.0,10,6.224558
1,14,1,1,0,6.0,5,6.033086
1,12,1,1,0,1.0,6,5.703783
1,18,0,1,0,6.0,3,6.76273
1,16,0,1,0,6.0,3,5.703783
1,12,0,1,0,1.0,14,6.580639
1,12,0,1,0,1.0,16,6.75227
1,10,0,1,0,1.0,14,6.603944
1,17,1,1,0,1.0,8,6.964136
1,12,1,1,0,6.0,14,6.270988
1,11,0,1,0,1.0,17,6.349139
1,12,0,0,0,1.0,14,6.690842
1,10,0,1,0,6.0,14,5.991465
1,18,0,1,0,1.0,5,6.869014
1,18,0,1,0,6.0,3,6.705639
1,13,0,1,0,1.0,9,6.60665
1,18,0,1,0,1.0,6,6.580639
1,18,0,1,0,6.0,0,6.816736
1,17,0,1,0,6.0,4,5.937536
1,14,0,1,0,6.0,6,5.857933
1,11,0,1,0,6.0,16,6.542472
1,12,0,1,1,4.0,14,6.921658
1,18,0,1,0,1.0,10,7.035269
1,18,0,1,0,1.0,6,7.443664
1,12,0,1,0,1.0,8,6.270988
1,17,1,1,0,6.0,9,6.511745
1,17,0,1,0,4.0,5,6.917706
1,18,0,1,0,1.0,4,6.74052
1,11,0,1,0,1.0,10,6.565265
1,16,0,0,0,1.0,4,6.709304
1,12,0,1,0,6.0,6,6.102559
1,15,0,1,0,1.0,4,6.214608
1,16,0,1,0,1.0,9,6.955593
1,18,0,1,0,1.0,5,7.091742
1,12,0,1,0,1.0,15,6.536692
1,16,0,1,0,1.0,6,6.473891
1,13,0,1,0,1.0,11,6.774224
1,17,0,1,0,1.0,2,6.306275
1,7,0,1,0,1.0,15,6.39693
1,15,0,1,0,1.0,13,7.716015
1,12,0,1,0,1.0,13,7.273787
1,12,1,1,0,1.0,16,5.768321
1,18,0,1,0,1.0,9,7.140453
1,12,0,1,0,1.0,6,6.39693
1,11,1,1,0,6.0,9,5.703783
1,16,0,1,0,6.0,2,6.287858
1,12,0,0,0,1.0,15,6.612041
1,12,0,1,0,1.0,15,6.74052
1,16,0,1,0,1.0,7,6.700731
1,12,0,1,0,1.0,10,6.907755
1,16,0,1,0,1.0,4,6.329721
1,18,0,1,0,6.0,2,5.652489
1,16,0,1,0,1.0,5,6.079933
1,13,0,1,0,6.0,6,5.783825
1,16,0,1,0,1.0,6,6.363028
1,16,1,1,0,4.0,4,6.376727
1,18,0,1,0,1.0,5,6.685861
1,14,0,1,0,6.0,5,5.743003
1,12,1,1,0,6.0,11,5.521461
1,15,1,1,0,5.0,6,6.214608
1,12,1,1,0,1.0,15,6.620073
1,13,0,1,1,1.0,12,5.83773
1,15,0,1,0,4.0,7,5.521461
1,16,0,1,0,1.0,2,6.55108
1,12,0,1,0,6.0,7,5.991465
1,17,0,1,0,1.0,4,6.318968
1,15,0,1,0,1.0,7,6.549651
1,14,0,1,0,1.0,4,7.561642
1,18,0,1,0,6.0,8,7.103322
1,16,0,1,0,1.0,7,6.421622
1,14,0,1,0,6.0,5,6.613384
1,16,0,1,0,6.0,2,6.126869
1,18,0,1,0,6.0,1,6.472346
1,12,0,1,0,1.0,7,6.613384
1,16,0,1,1,1.0,3,6.703188
1,16,0,1,0,1.0,9,6.76273
1,12,0,1,0,1.0,10,6.295266
1,13,0,1,0,1.0,8,5.899898
1,10,0,1,0,1.0,8,6.033086
1,16,0,1,0,6.0,5,6.487684
1,15,0,1,0,6.0,5,6.270988
1,17,0,1,0,1.0,6,6.746412
1,12,0,1,0,1.0,7,6.496775
1,16,0,1,0,1.0,2,6.270988
1,18,0,1,0,1.0,4,6.790097
1,17,0,1,1,1.0,5,6.76273
1,18,0,1,1,1.0,2,5.442418
1,12,0,0,1,1.0,14,6.687109
1,13,0,1,0,1.0,8,6.278522
1,15,1,1,0,1.0,4,6.652863
1,14,1,1,0,6.0,4,6.165418
1,16,0,1,0,1.0,11,6.76273
1,16,0,0,0,1.0,6,6.921658
1,18,0,1,0,1.0,8,6.463029
1,16,0,1,0,1.0,2,5.808143
1,11,1,1,0,1.0,17,6.320768
1,18,0,1,0,5.0,2,6.269096
1,12,0,1,0,1.0,8,6.453625
1,11,1,1,1,1.0,10,6.214608
1,16,1,1,0,1.0,12,7.05099
1,18,0,1,0,1.0,2,6.751101
1,12,0,0,0,1.0,10,6.1717
1,18,0,1,1,1.0,1,6.705639
1,18,0,1,0,1.0,5,6.539586
1,16,0,0,0,1.0,11,6.896694
1,16,0,1,1,1.0,9,6.102559
1,18,0,1,0,1.0,10,6.909753
1,18,0,1,0,5.0,10,7.123673
1,14,0,0,0,1.0,12,6.82546
1,12,0,1,0,6.0,10,6.347389
1,12,0,1,0,1.0,13,6.263398
1,12,0,1,0,1.0,10,7.05099
1,12,1,1,0,1.0,6,6.173786
1,11,0,1,0,1.0,7,6.732211
1,14,0,1,0,1.0,13,7.245655
1,13,1,1,0,6.0,8,5.991465
1,12,0,1,0,6.0,15,6.565265
1,14,0,1,0,1.0,4,6.453625
1,13,0,1,0,6.0,7,5.961005
1,12,0,1,0,1.0,8,6.533789
1,12,0,1,0,1.0,16,6.44572
1,15,0,1,0,6.0,13,6.950815
1,12,0,1,0,1.0,6,6.357842
1,12,0,1,0,6.0,7,6.214608
1,12,0,0,0,1.0,16,6.660575
1,13,0,1,0,1.0,7,6.357842
1,13,0,1,0,5.0,6,6.263398
1,17,0,1,0,1.0,5,5.953243
1,12,0,1,0,1.0,11,6.437752
1,16,0,1,0,1.0,6,6.437752
1,13,0,1,0,1.0,7,6.163315
1,14,0,1,0,1.0,5,6.490724
1,16,0,1,0,6.0,2,6.052089
1,14,0,1,0,1.0,5,6.261492
0,12,0,1,0,1.0,8,6.437752
0,16,0,1,0,1.0,9,6.917706
0,12,0,1,0,1.0,8,6.398595
0,12,0,1,0,1.0,9,6.694562
0,12,0,1,0,1.0,10,6.05444
0,12,0,1,0,1.0,12,6.966024
0,12,0,1,0,1.0,8,6.025866
0,12,0,1,0,1.0,12,6.198479
0,12,0,1,0,1.0,9,5.783825
0,12,0,1,0,4.0,10,5.616771
0,12,0,1,0,6.0,7,5.673323
0,18,0,1,1,1.0,7,6.594413
0,14,0,1,1,1.0,6,6.190315
0,14,0,1,0,6.0,4,5.820083
0,12,0,1,0,1.0,9,6.586172
0,13,0,0,0,1.0,6,6.086775
0,16,0,0,0,1.0,5,6.463029
0,12,0,1,0,6.0,10,5.926926
0,12,0,1,0,1.0,7,6.175867
0,14,0,1,0,1.0,9,6.829794
0,12,0,1,0,4.0,8,6.242223
0,12,0,1,0,1.0,15,6.97073
0,12,0,1,0,1.0,10,6.458338
0,12,0,1,0,1.0,14,6.605298
0,12,0,1,0,1.0,8,6.200509
0,10,0,1,1,1.0,8,6.476973
0,7,0,1,0,4.0,18,5.7301
0,16,0,1,0,1.0,8,6.444131
0,13,0,0,0,1.0,9,6.013715
0,18,0,1,0,6.0,9,6.39693
0,12,0,0,0,1.0,10,6.613384
0,17,0,1,0,1.0,8,6.437752
0,12,0,0,0,1.0,11,6.308098
0,15,0,0,0,6.0,3,5.786897
0,9,0,0,0,1.0,11,5.552959
1,12,0,1,0,1.0,8,6.774224
1,12,0,0,0,1.0,7,6.459905
1,11,0,0,0,1.0,16,6.50279
1,14,0,1,1,1.0,9,6.222576
1,17,0,1,1,6.0,2,5.746203
1,18,0,1,1,1.0,3,6.917706
1,10,0,0,0,1.0,17,6.907755
1,16,0,0,0,1.0,6,6.580639
1,12,0,0,0,1.0,9,6.665684
1,12,0,0,0,1.0,16,6.302619
1,12,0,0,0,4.0,7,6.719013
1,12,0,0,0,1.0,7,5.068904
1,10,0,0,0,1.0,11,6.55108
1,13,0,0,0,1.0,9,6.580639
1,12,0,0,0,1.0,6,5.717028
1,16,0,1,0,6.0,3,6.315358
1,14,0,1,1,1.0,6,6.295266
1,16,0,0,0,1.0,2,6.232448
1,16,0,0,0,1.0,2,5.953243
0,12,0,1,0,1.0,14,7.273787
0,16,0,1,0,1.0,10,6.778785
0,13,0,1,0,6.0,5,6.907755
0,12,0,0,0,1.0,10,6.760415
0,12,0,0,0,1.0,9,6.60665
0,12,0,0,0,1.0,16,6.790097
0,15,0,1,0,1.0,8,6.126869
1,12,0,1,0,1.0,16,6.109248
1,12,0,1,0,1.0,16,6.55108
1,14,0,1,0,1.0,13,6.612041
1,16,0,1,0,1.0,10,6.790097
1,18,0,1,0,1.0,8,6.539586
1,18,0,0,0,1.0,9,6.403574
1,18,0,1,0,1.0,6,6.437752
1,14,0,1,0,1.0,13,6.614726
1,18,0,1,0,1.0,9,6.58755
1,12,0,1,0,1.0,12,6.327937
1,12,0,0,0,1.0,8,6.049734
1,12,0,0,0,1.0,8,5.991465
1,14,0,1,0,5.0,6,5.521461
1,13,0,1,0,1.0,7,6.470799
1,12,0,1,0,1.0,6,6.393591
1,12,0,1,0,5.0,9,6.907755
1,12,0,0,0,1.0,10,6.269096
1,12,0,0,0,4.0,8,6.175867
1,12,0,0,0,1.0,15,6.745236
1,14,0,0,0,1.0,10,6.226537
1,12,0,1,0,1.0,11,6.238325
1,11,0,1,0,6.0,9,5.393628
1,16,0,1,0,6.0,2,5.036952
1,12,0,1,0,1.0,13,5.480639
1,12,0,1,0,1.0,10,6.322565
1,15,0,1,0,6.0,6,6.214608
1,16,0,1,0,1.0,4,5.918894
1,10,0,0,0,5.0,9,5.857933
1,12,0,0,0,1.0,8,6.369901
1,13,0,0,0,5.0,7,6.244167
0,12,0,0,0,5.0,11,5.966147
0,16,0,0,0,4.0,3,5.634789
0,12,0,0,0,1.0,15,6.536692
0,12,0,0,0,1.0,8,5.703783
0,17,0,0,0,1.0,4,6.453625
0,13,0,0,0,1.0,7,5.834811
0,16,0,0,0,1.0,4,6.224558
0,13,0,0,0,1.0,5,5.874931
0,12,0,0,0,1.0,15,5.568345
0,10,0,0,0,1.0,16,5.991465
0,13,0,0,0,1.0,10,6.60665
0,12,0,0,0,1.0,16,5.834811
0,15,0,0,0,6.0,8,5.620401
0,9,0,0,0,6.0,9,6.056784
0,12,0,0,0,1.0,7,5.476463
0,13,0,0,0,1.0,5,5.953243
0,12,0,0,0,1.0,11,5.857933
0,12,0,0,0,1.0,11,6.395262
0,15,0,1,0,1.0,10,6.620073
0,16,0,0,0,1.0,11,6.539586
0,12,0,0,0,1.0,16,4.990433
1,12,0,1,0,1.0,8,5.634789
1,18,0,1,0,1.0,8,6.645091
1,13,0,1,0,4.0,13,6.917706
1,14,0,0,0,1.0,6,6.248043
1,16,0,0,0,6.0,4,5.991465
1,12,0,0,0,1.0,7,5.926926
1,12,0,0,0,1.0,13,6.390241
1,7,0,0,0,1.0,18,5.857933
1,11,0,0,0,1.0,16,6.033086
1,16,0,0,0,5.0,7,5.823046
1,18,0,0,0,6.0,2,6.175867
1,12,0,0,0,1.0,10,6.214608
1,12,0,0,0,4.0,9,5.720312
1,10,0,0,0,1.0,18,6.109248
1,16,0,1,0,1.0,7,6.645091
1,16,0,1,0,6.0,4,6.580639
1,13,0,1,0,1.0,10,6.907755
1,14,0,1,0,1.0,10,6.437752
1,16,0,1,0,1.0,4,6.705639
1,12,0,1,0,1.0,16,5.932245
1,12,0,1,0,1.0,15,6.562444
1,14,0,1,0,1.0,4,6.018593
1,13,0,1,0,1.0,13,7.199678
1,12,0,0,0,1.0,16,6.57368
1,10,1,1,0,4.0,16,5.257495
1,16,1,1,0,6.0,10,6.680855
1,16,1,1,0,1.0,12,6.828712
1,15,1,1,0,6.0,5,5.480639
1,13,0,1,0,1.0,6,6.437752
1,8,0,1,0,1.0,10,6.932448
1,12,1,0,1,1.0,10,6.22059
1,16,0,1,0,1.0,6,6.135565
1,16,0,0,0,1.0,3,6.165418
1,15,0,1,1,4.0,5,6.214608
1,12,0,0,0,1.0,16,6.907755
1,13,0,0,0,1.0,15,6.496775
1,15,0,1,0,1.0,13,6.561031
1,16,0,1,1,1.0,9,6.833032
1,12,0,0,0,1.0,6,5.703783
1,15,0,1,0,1.0,6,5.899898
1,12,0,1,0,1.0,12,6.46925
1,18,0,0,0,1.0,1,6.135565
1,18,0,1,0,1.0,9,6.933423
1,12,0,1,0,1.0,6,6.263398
1,18,0,1,0,6.0,5,5.926926
1,18,0,1,0,1.0,10,7.338238
1,18,0,1,0,5.0,9,6.827629
1,13,0,1,0,4.0,7,6.342122
1,14,0,1,0,6.0,5,6.39693
1,15,0,1,0,1.0,6,6.580639
1,17,0,1,0,6.0,1,7.017506
