statefip,year,bmprison,wmprison,alcohol,income,ur,poverty,black,perc1519,aidscapita,state
4,1996,3172.0,16682.0,2.58,20823,5.55,20.5,4.356447,6.9587784,8.742211,Arizona
4,1997,3255.0,17490.0,2.44,21861,4.5916667,17.2,4.4364505,7.039048,4.4754157,Arizona
4,1998,3444.0,18752.0,2.44,23216,4.3416667,16.6,4.5358176,7.1380215,3.6860003,Arizona
4,1999,3539.0,10854.0,2.51,24057,4.508333,12.2,4.6258907,7.162593,3.5630236,Arizona
4,2000,3544.0,10893.0,2.5,25660,4.008333,11.7,4.745077,7.1785913,2.4771914,Arizona
5,1985,2153.0,2241.0,1.75,11260,8.516666,22.9,16.356998,8.16326,0.3436981,Arkansas
5,1986,2238.0,2237.0,1.63,11710,8.516666,21.3,16.32884,8.175586,1.0290227,Arkansas
5,1987,2536.0,2634.0,1.71,12085,8.15,21.8,16.290709,8.097042,1.6220635,Arkansas
5,1988,2646.0,2547.0,1.74,12901,7.675,21.6,16.260614,7.9778376,2.731493,Arkansas
5,1989,3126.0,2877.0,1.78,13781,7.008333,18.3,16.232267,7.7865868,3.6651986,Arkansas
5,1990,3648.5,3396.0,1.86,14460,6.75,19.6,16.173077,7.611859,3.18257,Arkansas
5,1991,4171.0,3134.0,1.81,15124,7.2083335,17.3,16.21316,7.460355,4.6157513,Arkansas
5,1992,4449.0,3344.0,1.9,16209,7.125,17.5,16.28474,7.4477315,4.6357923,Arkansas
5,1993,4642.0,3444.0,1.79,16619,6.133333,20.0,16.338202,7.452053,5.8624687,Arkansas
5,1994,4612.0,3421.0,1.65,17350,5.35,15.3,16.312723,7.4889965,7.3776503,Arkansas
5,1995,4841.0,3994.0,1.7,18076,4.7916665,14.9,16.341269,7.5677633,7.3361235,Arkansas
5,1996,4873.0,3898.0,1.75,18926,5.15,17.2,16.44394,7.6459045,5.9095473,Arkansas
5,1997,5222.0,4160.0,1.71,19590,5.0916667,19.7,16.501972,7.638605,2.8834066,Arkansas
5,1998,5421.0,4452.0,1.73,20489,5.016667,14.7,16.577486,7.6328235,2.4368987,Arkansas
5,1999,4839.0,4885.5,1.75,21137,4.4416666,14.7,16.623539,7.546477,2.3002722,Arkansas
5,2000,5772.0,5319.0,1.74,21925,4.2083335,16.5,16.631834,7.399349,1.7172714,Arkansas
6,1985,16138.0,29173.0,3.12,16956,7.2083335,13.6,10.874739,7.5497737,5.6640778,California
6,1986,19549.0,34038.0,3.11,17668,6.758333,12.7,10.868618,7.532254,9.983185,California
6,1987,22184.0,37923.0,3.03,18549,5.8416667,12.3,10.856063,7.443257,11.518715,California
6,1988,26438.0,41741.0,2.9,19599,5.3,13.2,10.849557,7.3218203,13.822357,California
6,1989,30066.0,47496.0,2.79,20585,5.15,12.9,10.843377,7.142572,18.337824,California
6,1990,32190.0,54409.0,2.78,21638,5.7666664,13.9,11.1023655,6.9386067,20.337444,California
6,1991,32981.0,57880.0,2.46,21750,7.766667,15.7,11.268958,6.6050425,22.408386,California
6,1992,34279.0,63015.0,2.54,22492,9.375,16.4,11.423231,6.474586,23.793642,California
6,1993,36461.0,71139.0,2.35,22635,9.541667,18.2,11.583383,6.4243665,24.629953,California
6,1994,37472.0,74992.0,2.24,23203,8.633333,17.9,11.737287,6.484391,25.688883,California
6,1995,39399.0,,2.23,24161,7.875,16.7,11.88276,6.599112,24.185574,California
6,1996,42300.0,,2.24,25312,7.3416667,16.9,12.028435,6.7712865,16.1811,California
6,1997,44682.0,,2.24,26490,6.4166665,16.6,12.139122,6.9181747,8.009602,California
6,1998,46235.0,,2.17,28374,5.9666667,15.4,12.244769,7.0743175,6.744943,California
6,1999,46578.0,,2.18,29828,5.25,14.0,12.362754,7.173654,6.194177,California
6,2000,46243.0,,2.19,32463,4.9333334,12.7,12.446319,7.2266006,5.195473,California
8,1985,665.0,2534.0,3.15,15438,6.008333,10.2,4.510971,7.648518,1.7759427,Colorado
8,1986,786.0,2796.0,2.87,15786,7.516667,13.5,4.494842,7.5978446,3.489925,Colorado
8,1987,959.0,3465.0,2.8,16275,7.4666667,12.5,4.4746203,7.459378,4.691857,Colorado
8,1988,1229.0,4138.0,2.72,17130,6.4083333,12.5,4.4571905,7.2835016,5.670003,Colorado
8,1989,1492.0,4779.0,2.6,18515,5.616667,12.1,4.4402037,7.0475955,7.295774,Colorado
8,1990,1525.0,4807.0,2.39,19575,5.1416664,13.7,4.6158686,6.8282976,9.704869,Colorado
8,1991,1801.0,5699.0,2.61,20160,5.45,10.4,4.6926584,6.5622435,11.898017,Colorado
8,1992,1912.0,6012.0,2.52,21109,6.008333,10.8,4.740485,6.49731,11.842312,Colorado
8,1993,2152.0,6469.0,2.63,22054,5.2999997,9.9,4.7829986,6.511575,12.175772,Colorado
8,1994,2364.0,7052.0,2.55,23004,4.2916665,9.0,4.802063,6.59213,12.700824,Colorado
8,1995,2496.0,7451.0,2.47,24226,4.016667,8.8,4.797534,6.713543,13.562766,Colorado
8,1996,2747.0,8137.0,2.57,25570,4.2166667,10.6,4.822409,6.8491817,7.576585,Colorado
8,1997,3030.0,8978.0,2.48,26846,3.4,8.2,4.862424,6.985628,3.9569042,Colorado
8,1998,3059.0,9770.0,2.53,28784,3.5166667,9.2,4.9495363,7.115975,3.0607493,Colorado
8,1999,3310.0,10725.0,2.45,30492,3.0416667,8.5,5.0094194,7.1548443,2.7922266,Colorado
8,2000,3586.0,,2.6,33371,2.7416668,9.8,5.1044645,7.154202,2.3574233,Colorado
9,1985,2620.0,2094.0,2.84,18731,4.5916667,7.6,9.060162,7.510393,2.6859195,Connecticut
9,1986,2890.0,2246.0,2.79,20024,3.7833333,6.0,9.035372,7.4125137,4.5283546,Connecticut
9,1987,3070.0,2305.0,2.79,21741,3.2083333,6.6,9.009533,7.227246,6.0349956,Connecticut
9,1988,3541.0,2204.0,2.71,23784,2.8583333,4.0,8.988366,7.004845,7.395105,Connecticut
9,1989,4172.0,2447.0,2.54,25684,3.625,2.9,8.9670725,6.723725,9.50225,Connecticut
9,1990,4818.0,2586.0,2.46,26504,4.925,6.0,8.7048435,6.4157996,10.115533,Connecticut
9,1991,4856.0,2813.0,2.29,26512,6.5416665,8.6,8.951908,6.065043,12.2619705,Connecticut
9,1992,4897.0,2969.0,2.3,28362,7.2916665,9.8,9.121269,5.9105124,16.390404,Connecticut
9,1993,5873.0,3323.0,2.2,28975,6.3583336,8.5,9.339019,5.863697,19.370386,Connecticut
9,1994,6175.0,3467.0,2.2,29693,5.475,10.8,9.478453,5.902408,20.837599,Connecticut
9,1995,6406.0,3538.0,2.22,31045,5.266667,9.7,9.624425,5.9643626,22.98336,Connecticut
9,1996,6396.0,3635.0,2.13,32424,5.3166666,11.7,9.783073,6.0414753,16.213697,Connecticut
9,1997,7456.0,4138.0,2.17,34375,4.8333335,8.6,9.958548,6.127133,8.270267,Connecticut
9,1998,7675.0,4245.0,2.18,36822,3.2666667,9.5,10.192262,6.2368217,7.9932203,Connecticut
9,1999,8042.0,4550.0,2.18,38332,2.65,7.2,10.3954935,6.294647,6.644222,Connecticut
9,2000,7882.0,4524.0,2.18,41489,2.2583332,7.7,10.566577,6.4164076,6.5944576,Connecticut
10,1985,1356.0,1063.0,3.16,15987,5.1083336,11.4,17.703888,8.069602,1.1318948,Delaware
10,1986,1545.0,1117.0,3.13,16706,3.9,12.4,17.66928,7.9537377,3.8238358,Delaware
10,1987,1595.0,1173.0,3.08,17730,3.0916667,6.6,17.634352,7.754289,4.709273,Delaware
10,1988,1823.0,1193.0,3.03,19006,2.9166667,8.6,17.606497,7.5204988,5.0947704,Delaware
10,1989,2045.0,1141.0,2.91,20743,3.1083333,10.0,17.580656,7.224825,7.2918186,Delaware
10,1990,2102.0,1079.0,2.95,21422,4.1583333,6.9,17.415047,6.884897,10.603868,Delaware
10,1991,2287.0,1101.0,2.7,22090,5.7333336,7.5,17.765415,6.398372,10.833284,Delaware
10,1992,2476.0,1205.0,2.73,22670,5.4,7.8,18.07557,6.220959,13.094938,Delaware
10,1993,2606.0,1264.0,2.76,22967,4.983333,10.2,18.3874,6.257839,19.253147,Delaware
10,1994,2797.0,1308.0,2.76,23530,4.575,8.3,18.745676,6.4064274,25.364264,Delaware
10,1995,2929.0,1431.0,2.62,24407,4.3916664,10.3,19.138985,6.5623913,25.214666,Delaware
10,1996,3060.0,1586.0,2.78,25727,4.241667,8.6,19.503323,6.7267947,21.863028,Delaware
10,1997,3237.0,1806.0,2.81,26475,3.9,9.6,19.947557,6.873572,11.310907,Delaware
10,1998,3260.0,1850.0,2.82,28252,3.5166667,10.3,20.34408,6.999024,10.087315,Delaware
10,1999,4070.0,2294.0,2.9,28925,3.3333333,10.4,20.73824,7.07493,9.806578,Delaware
10,2000,3965.0,2355.0,2.89,30869,3.3,8.4,21.016884,7.006886,12.58722,Delaware
11,1985,6021.0,155.0,4.94,18148,8.041667,20.4,71.346375,7.6838846,21.427277,District of Columbia
11,1986,6241.0,128.0,4.75,19013,7.2833333,12.8,71.29006,7.6140766,33.6809,District of Columbia
11,1987,7126.0,169.0,4.85,20141,6.175,14.9,71.25234,7.5035086,40.657936,District of Columbia
11,1988,8205.0,254.0,4.48,22273,5.075,15.2,71.234665,7.359628,53.76506,District of Columbia
11,1989,9320.0,120.0,4.22,24133,5.0583334,18.0,71.21854,7.139973,72.57731,District of Columbia
11,1990,9222.0,110.0,4.14,26473,5.983333,21.1,70.217514,6.689674,86.89604,District of Columbia
11,1991,9513.0,188.0,3.89,27567,7.6583333,18.6,70.8131,5.7623115,86.54118,District of Columbia
11,1992,9996.0,159.0,4.05,28916,8.566667,20.3,71.039635,5.2334056,95.387115,District of Columbia
11,1993,10023.0,135.0,3.78,29996,8.45,26.4,70.960556,5.1367292,106.668724,District of Columbia
11,1994,10129.0,133.0,3.76,30835,8.016666,21.2,70.69074,5.275618,121.17324,District of Columbia
11,1995,9070.0,112.0,3.74,31266,8.591667,22.2,70.34821,5.5161176,120.23765,District of Columbia
11,1996,8617.0,124.0,3.63,32786,8.508333,24.1,69.908745,5.7706723,106.223694,District of Columbia
11,1997,8704.0,76.0,3.75,34488,8.275,21.8,69.37512,5.9953923,58.125607,District of Columbia
11,1998,9229.0,81.0,3.55,36379,8.041667,22.3,68.89477,6.199954,47.414326,District of Columbia
11,1999,8058.0,108.0,3.45,37030,6.516667,14.7,68.18535,6.4391727,40.68655,District of Columbia
11,2000,9319.0,311.0,3.53,40456,5.641667,15.2,67.85356,6.2693195,25.890375,District of Columbia
12,1985,13427.0,13747.0,3.04,14698,6.15,13.4,15.482015,6.814279,4.518297,Florida
12,1986,15486.0,15116.0,2.96,15438,5.875,11.4,15.464158,6.7711706,8.038411,Florida
12,1987,16074.0,13857.0,2.95,16253,5.4583335,12.4,15.440745,6.661459,12.067724,Florida
12,1988,17510.0,14640.0,2.92,17376,5.266667,13.6,15.430841,6.526567,15.20117,Florida
12,1989,20750.0,15883.0,2.9,18836,5.7,12.5,15.420786,6.342523,20.3831,Florida
12,1990,23824.0,17106.0,2.96,19564,6.258333,14.4,15.326095,6.1900024,22.219994,Florida
12,1991,25607.0,17323.0,2.69,19780,7.575,15.4,15.568524,5.929992,26.073692,Florida
12,1992,26823.0,18057.0,2.75,20417,8.341667,15.6,15.887001,5.829354,29.507961,Florida
12,1993,29385.0,19949.0,2.68,21050,7.2166667,17.8,16.168661,5.8052363,31.894457,Florida
12,1994,31335.0,21513.0,2.6,21666,6.7166667,14.9,16.470106,5.8333106,36.806213,Florida
12,1995,34313.0,24657.0,2.5,22691,5.5416665,16.2,16.75823,5.902066,37.36447,Florida
12,1996,33643.0,25551.0,2.54,23655,5.2833333,14.2,17.046415,6.0082903,26.59331,Florida
12,1997,33958.0,25968.0,2.51,24502,4.975,14.3,17.358229,6.1183486,17.140444,Florida
12,1998,35265.0,27117.0,2.47,25987,4.491667,13.1,17.641705,6.2247205,13.863635,Florida
12,1999,35982.0,28360.0,2.53,26894,4.025,12.4,17.977783,6.296329,13.014438,Florida
12,2000,36147.0,24414.0,2.55,28509,3.8,11.0,18.291088,6.387456,13.350862,Florida
13,1985,9043.0,6138.0,2.43,13137,6.258333,17.7,27.975336,8.299631,2.2468097,Georgia
13,1986,9847.0,6569.0,2.43,13970,5.875,14.6,27.940363,8.276225,3.8452873,Georgia
13,1987,10865.0,6782.0,2.49,14721,5.5416665,14.6,27.896322,8.182412,5.8622265,Georgia
13,1988,11429.0,6429.0,2.4,15738,5.525,14.0,27.861074,8.055014,8.516603,Georgia
13,1989,13001.0,6696.0,2.37,16701,5.2916665,15.0,27.827816,7.8589864,11.308612,Georgia
13,1990,14025.0,7083.0,2.31,17603,5.1833334,15.8,27.705833,7.6384983,13.850071,Georgia
13,1991,15031.0,7130.0,2.17,18070,5.016667,17.2,28.002098,7.2771025,15.827435,Georgia
13,1992,16125.0,7586.0,2.23,19075,6.675,17.7,28.293571,7.108135,17.32382,Georgia
13,1993,17713.0,8153.0,2.2,19719,5.95,13.5,28.650047,7.061007,16.365158,Georgia
13,1994,21153.0,10140.0,2.14,20711,5.075,14.0,29.007195,7.108809,14.28706,Georgia
13,1995,21838.0,10291.0,2.13,21677,4.775,12.1,29.364342,7.156611,20.877644,Georgia
13,1996,22206.0,10560.0,2.16,22945,4.5833335,14.8,29.746914,7.2726965,16.27768,Georgia
13,1997,22996.0,11103.0,2.14,23795,4.4666667,14.5,30.158981,7.3339977,9.420829,Georgia
13,1998,24508.0,12109.0,2.14,25279,4.1583333,13.5,30.564777,7.3632016,8.507623,Georgia
13,1999,26271.0,13048.0,2.2,26359,3.7833333,12.8,31.011389,7.328282,8.289869,Georgia
13,2000,27126.0,13792.0,2.17,27989,3.475,12.1,31.421509,7.2582574,7.1893754,Georgia
15,1985,98.0,491.0,2.88,15688,5.0416665,10.7,7.9494324,7.349413,3.2693975,Hawaii
15,1986,101.0,530.0,2.88,16377,4.508333,10.7,7.86692,7.2549205,3.517468,Hawaii
15,1987,109.0,520.0,2.73,17217,3.6416667,8.8,7.769597,7.134611,4.8686357,Hawaii
15,1988,140.0,632.0,2.86,18671,3.0416665,11.1,7.6763897,6.984111,7.5927334,Hawaii
15,1989,137.0,599.0,2.76,20521,2.3916667,11.3,7.5921803,6.770846,8.03954,Hawaii
15,1990,132.0,538.0,2.84,22186,2.425,11.0,6.9399633,6.5307217,9.87884,Hawaii
15,1991,145.0,592.0,2.67,22895,2.775,7.7,7.314233,6.445634,12.667648,Hawaii
15,1992,156.0,547.0,2.63,24089,4.241667,11.2,7.9136915,6.5095077,12.6012745,Hawaii
15,1993,152.0,581.0,2.51,24555,4.366667,8.0,7.9091563,6.4950147,14.580019,Hawaii
15,1994,162.0,604.0,2.47,24777,5.133333,8.7,8.107228,6.518876,14.483771,Hawaii
15,1995,156.0,630.0,2.32,25004,5.508333,10.3,8.171312,6.566465,14.036799,Hawaii
15,1996,187.0,768.0,2.34,25024,5.875,12.1,8.169354,6.6609898,8.1411915,Hawaii
15,1997,208.0,890.0,2.3,25587,5.7916665,13.9,8.151962,6.7073555,4.8694334,Hawaii
15,1998,204.0,934.0,2.22,26132,5.65,10.9,8.2006445,6.7508864,3.1269724,Hawaii
15,1999,192.0,882.0,2.26,26973,4.991667,10.8,7.9640164,6.7362638,2.891845,Hawaii
15,2000,210.0,1019.0,2.33,28422,3.95,8.9,7.616404,6.686892,2.9686534,Hawaii
16,1985,31.0,1215.0,2.42,11641,7.85,16.0,0.23065238,8.3151045,0.0,Idaho
16,1986,31.0,1307.0,2.33,11949,8.108334,18.5,0.22905523,8.39443,0.0,Idaho
16,1987,25.0,1286.0,2.26,12554,7.5499997,15.1,0.22683814,8.363929,0.91353583,Idaho
16,1988,23.0,1419.0,2.18,13493,6.0666666,12.5,0.22424537,8.283954,1.2171546,Idaho
16,1989,24.0,1559.0,2.09,14729,5.3,12.4,0.22241163,8.133487,0.8043798,Idaho
16,1990,27.0,1720.0,2.27,15724,5.4833336,14.9,0.33340475,8.042601,2.0743117,Idaho
16,1991,29.0,1888.0,2.19,16030,5.9666667,13.9,0.35322738,8.047894,1.5365173,Idaho
16,1992,26.0,1983.0,2.2,17093,6.425,15.2,0.36404192,8.214821,2.706019,Idaho
16,1993,47.0,2237.0,2.11,18103,6.116667,13.1,0.39953583,8.422591,3.1566567,Idaho
16,1994,35.0,2144.0,2.12,18707,5.45,12.0,0.40179536,8.664792,3.0563948,Idaho
16,1995,50.0,2506.0,1.98,19426,5.258333,14.5,0.42868412,8.832588,3.3126028,Idaho
16,1996,57.0,2863.0,1.98,20248,5.3333335,11.9,0.4276884,8.940946,2.0779946,Idaho
16,1997,59.0,2927.0,2.0,20648,5.05,14.7,0.42430937,8.963957,1.1395826,Idaho
16,1998,53.0,3039.0,2.25,21789,5.1416664,13.0,0.46320093,8.929595,1.4373208,Idaho
16,1999,71.0,4111.0,2.36,22786,4.8916664,14.1,0.4849701,8.747297,0.0,Idaho
16,2000,74.0,3928.0,2.32,24075,4.6083336,12.5,0.58787805,8.536294,0.38469794,Idaho
17,1985,10721.0,5828.0,2.72,15661,9.075,15.6,16.581856,7.9198384,1.4645807,Illinois
17,1986,11103.0,6112.0,2.68,16424,8.258333,13.3,16.550257,7.885291,2.7219968,Illinois
17,1987,11422.0,6103.0,2.66,17347,7.4166665,14.4,16.516014,7.764394,3.9147658,Illinois
17,1988,11975.0,6338.0,2.64,18613,6.7833333,12.7,16.48927,7.601682,5.6004643,Illinois
17,1989,14276.0,7176.0,2.56,19770,6.075,12.7,16.461693,7.370788,7.7914753,Illinois
17,1990,16220.0,7556.0,2.62,20824,6.258333,13.7,16.403374,7.1209683,8.565205,Illinois
17,1991,17501.0,7685.0,2.48,21215,7.241667,13.5,16.577324,6.8583755,10.597319,Illinois
17,1992,19444.0,7865.0,2.43,22550,7.8333335,15.6,16.776812,6.7560678,12.510492,Illinois
17,1993,21428.0,8105.0,2.38,22962,7.383333,13.6,16.992579,6.7377253,13.878564,Illinois
17,1994,22794.0,8421.0,2.35,23969,5.8,12.4,17.181564,6.8115444,14.581218,Illinois
17,1995,23153.0,8637.0,2.29,25123,5.1916666,12.4,17.362085,6.9421606,14.806256,Illinois
17,1996,23751.0,8930.0,2.3,26449,5.3083334,12.1,17.51935,7.0820293,11.6509695,Illinois
17,1997,24841.0,9412.0,2.26,27729,4.825,11.2,17.695417,7.168287,6.392731,Illinois
17,1998,26374.0,9735.0,2.25,29343,4.4666667,10.1,17.858059,7.2384133,5.818195,Illinois
17,1999,27204.0,10167.0,2.27,30212,4.45,9.9,18.051342,7.2313905,4.6524725,Illinois
17,2000,27271.0,10608.0,2.24,32185,4.5,10.7,18.201712,7.1670127,4.541492,Illinois
18,1985,3249.0,6198.0,2.19,13159,7.7083335,12.0,8.03671,8.336406,0.42119613,Indiana
18,1986,3216.0,6546.0,2.14,13820,6.766667,12.7,8.023561,8.341491,1.2282588,Indiana
18,1987,3192.0,7132.0,2.13,14589,6.0583334,11.1,8.007266,8.246006,1.6259195,Indiana
18,1988,3367.0,7524.0,2.1,15472,5.141667,10.1,7.994506,8.104595,2.2757788,Indiana
18,1989,4488.0,7206.0,2.04,16717,4.7083335,13.7,7.981402,7.892724,3.1319184,Indiana
18,1990,4566.0,7471.0,2.09,17491,5.008333,13.0,7.9561167,7.635398,3.7964675,Indiana
18,1991,4687.0,7580.0,2.0,17869,5.625,15.7,8.045338,7.3089857,4.66492,Indiana
18,1992,5255.0,7906.0,1.95,19037,6.05,11.8,8.168668,7.179093,5.815442,Indiana
18,1993,5565.0,8072.0,1.98,19764,5.0416665,12.2,8.274939,7.199558,6.6213408,Indiana
18,1994,5909.0,8217.0,1.94,20761,4.5333333,13.7,8.395803,7.2782445,7.3875566,Indiana
18,1995,6484.0,8688.0,1.91,21408,4.3416667,9.6,8.502243,7.3911138,8.288531,Indiana
18,1996,6769.0,9117.0,1.89,22368,3.875,7.5,8.586349,7.4940405,5.3166156,Indiana
18,1997,7262.0,9509.0,1.9,23306,3.3083334,8.8,8.732049,7.55815,3.8285437,Indiana
18,1998,7629.0,10302.0,1.91,24894,2.9083333,9.4,8.856983,7.586149,2.4171178,Indiana
18,1999,7728.0,10289.0,1.94,25615,2.8583333,6.7,8.967178,7.5294185,1.9354938,Indiana
18,2000,7754.0,10321.0,1.98,27132,2.9166667,8.5,9.101893,7.410665,1.8220767,Indiana
19,1985,545.0,2088.0,2.02,13490,7.95,17.9,1.7798641,8.052472,0.24731505,Iowa
19,1986,525.0,2058.0,2.04,14108,6.8166666,12.9,1.7733164,8.018391,0.57299286,Iowa
19,1987,573.0,2093.0,2.08,14905,5.775,14.5,1.7652278,7.876684,0.79495305,Iowa
19,1988,629.0,2199.0,1.99,15321,4.7083335,9.4,1.757972,7.685707,0.8667602,Iowa
19,1989,735.0,2589.0,1.94,16596,4.3166666,10.3,1.7506367,7.4267874,1.479756,Iowa
19,1990,810.0,2854.0,2.06,17389,4.508333,10.4,1.7485955,7.166944,1.4023641,Iowa
19,1991,885.0,2956.0,2.01,17804,4.575,9.6,1.803921,6.934662,2.8595808,Iowa
19,1992,1000.0,3169.0,1.9,18834,4.491667,11.5,1.865178,6.9182134,2.590121,Iowa
19,1993,1121.0,3288.0,1.87,18716,4.2083335,10.3,1.9237232,7.0766296,2.855157,Iowa
19,1994,1271.0,3547.0,1.84,20301,3.7666667,10.7,1.9847058,7.2940907,3.2272255,Iowa
19,1995,1362.0,3841.0,1.8,20929,3.625,12.2,2.0288367,7.5113354,3.6967635,Iowa
19,1996,1457.0,4052.0,1.85,22521,3.625,9.6,2.0884593,7.6994443,2.4305556,Iowa
19,1997,1569.0,4428.0,1.85,23623,3.15,9.6,2.139999,7.8113008,1.0722492,Iowa
19,1998,1671.0,4753.0,1.9,24701,2.9,9.1,2.20864,7.871584,0.5511783,Iowa
19,1999,1627.0,4613.0,1.95,25118,2.6166666,7.4,2.2774744,7.8237367,0.82258433,Iowa
19,2000,1719.0,5033.0,1.98,26554,2.7916667,8.3,2.4535549,7.6547885,1.0243306,Iowa
20,1985,1556.0,2827.0,1.96,14451,5.1416664,13.8,6.1079793,7.727942,0.45303193,Kansas
20,1986,1681.0,3290.0,1.88,15005,5.391667,11.1,6.098382,7.6895003,1.2741371,Kansas
20,1987,1829.0,3342.0,1.84,15599,4.9083333,9.2,6.084802,7.560478,2.2487917,Kansas
20,1988,1857.0,3348.0,1.88,16275,4.55,8.1,6.0737543,7.389238,2.1929655,Kansas
20,1989,1757.0,3258.0,1.77,17048,4.1916666,10.8,6.062644,7.1560664,3.1137946,Kansas
20,1990,1876.0,3211.0,1.79,18085,4.35,10.3,6.036761,6.9244995,3.8285625,Kansas
20,1991,2014.0,3178.0,1.85,18626,4.5333333,12.3,6.0826,6.7380047,5.2026596,Kansas
20,1992,2112.0,3115.0,1.78,19692,4.625,11.1,6.2297993,6.783265,6.081202,Kansas
20,1993,2099.0,3246.0,1.75,20234,5.075,13.1,6.246128,6.9190593,5.7499433,Kansas
20,1994,2356.0,3537.0,1.73,20990,4.85,14.9,6.29089,7.1024637,5.5802855,Kansas
20,1995,2581.0,3873.0,1.72,21558,4.3916664,10.8,6.3196363,7.308669,6.343697,Kansas
